N;NOMBRE;DESCRIPCION;SONIDO;IMAGEN;LATITUD;LONGITUD;AUTORIA;FECHA Y HORA;BARRIO;
1;Parada del Colectivo ZN Unpsjb;Audio tomado desde la parada del colectivo que se dirige hacia zona norte en la universidad;"<iframe width=""100%"" height=""300"" scrolling=""no"" frameborder=""no"" allow=""autoplay"" src=""https://w.soundcloud.com/player/?url=https%3A//api.soundcloud.com/tracks/2095124517%3Fsecret_token%3Ds-SdjUI2qhfh8&color=%23ff5500&auto_play=false&hide_related=false&show_comments=true&show_user=true&show_reposts=false&show_teaser=true&visual=true""></iframe><div style=""font-size: 10px; color: #cccccc;line-break: anywhere;word-break: normal;overflow: hidden;white-space: nowrap;text-overflow: ellipsis; font-family: Interstate,Lucida Grande,Lucida Sans Unicode,Lucida Sans,Garuda,Verdana,Tahoma,sans-serif;font-weight: 100;""><a href=""https://soundcloud.com/bianca-freddo-619612799"" title=""Bianca Freddo"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">Bianca Freddo</a> · <a href=""https://soundcloud.com/bianca-freddo-619612799/whatsapp-audio-2025-05-13-at/s-SdjUI2qhfh8"" title=""WhatsApp-Audio-2025-05-13-at-12.10.13-PM"" target=""_blank"" style=""color: #cccccc; text-decoration: none;"">WhatsApp-Audio-2025-05-13-at-12.10.13-PM</a></div>";"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxIPEBAPDxAQDw8PDw8PDw0NDw8PEA8NFREWFhUSFRUYHSggGBolGxUVITEhJSkrLi4uFx8zODMsNyguLysBCgoKDg0OGxAQGi0dHx8tLS0tLS0tLS0tLS0tLS0tLystLS0tLS0tLS0tLS0wKy0rLS0tLS0tLSstLSstNy0tLf/AABEIALcBEwMBIgACEQEDEQH/xAAcAAABBQEBAQAAAAAAAAAAAAACAAEDBAUGBwj/xAA/EAABAwIDBQUFBAkEAwAAAAABAAIDBBEFITEGEkFRYRMicYGRByMyUqFCscHRFDNicnOCouHwFlNjkhVD8f/EABoBAAMBAQEBAAAAAAAAAAAAAAECAwQABQb/xAArEQACAgICAQIFAwUAAAAAAAAAAQIRAxIEITFBURMUImGBBZHRFSNSoeH/2gAMAwEAAhEDEQA/AO4YxTNak1qla1amzIkMGpwEQCIBLY1AgIgEQCIBCw0MGog1E1qIBCxqB3UQaiARBCxqBDUQanTgJbDQ1k9k6SFjUNZOnSsus6hkk6SFhoZJOkus6hk1kSZdZ1A2TWRoUbBQJCEtRpI2DUjLUBapShIRsFERamLVKQhK6xaIiEJapSmIRsFFdzVE5qtEKNzUbBRV3ElNupI7AoNoUgCQCIIWFIQCIBIJ0LDQ4CMIQjCFjUIIgEgnS2MkOnTBOg2MkOE6QSS2NqOkknCGwdRWSRWSQ2G1BT2RWSshsdqCmR2TWXbHagpkdky7Y7UFMU5TFHYGoKZEUJR2BqMhKJCSjsDUZMUkxKOwNQSEJREoSUbF1BKEoyUBR2F1ASSTrtgUECnCAFOChYdSUJwVHdPdDYZRJgU4KgBRApdh1EmBRAqEFOCg5DKBNdPdQgp7pHMdQJgUQKgBRhI5jqBKESiBRJXkG0JAnXme1/tGdFL2OH9k8Rn3tRIC9hd8jACLgfNnfhzPNY/t9WVbGxNIp27o7T9GL2uldxJde7W/sg+JPAbjrC2e4pLx/wBn+3T4JBTV8jnQPyjnmLnOgfwDnHMxnrp4Xt681wIBBBBAIIIIIOhB4hDcEserphJJlibV7Qx4dA6Z9nSEEQQXs6aXgOe6Li54DqQEN2DU2yhuvm2t2jrn1BqTVTNm3r+7lc1rf2Wsvuho+XMc7ro8L9rFbGWioZDUsAs7umGV3Xeb3Qf5VSpehzjR7bvJi5cps/t9Q1u6xsvYTOy7CptGSeTXX3XeAN+i6cqbm15CoJjlyEuQlCQuWU74YReh30BCAplkF+GSF6EvUZQlOsgrxkhkQF6BMjuLoGXoS9AUybcDgFvpKOydHcGhYAThBvJw5HYRRJE6jDkQchsMokgCcIA5EHJXIZRDARAKMORByVyHUQwEQCjDkQckckOokgCIBAHKDEMQjpopJ5nbkUTS97tchwA4kmwA4khI5DJMuALzH2kbYEufQ0rxuW3amVmrn3zia6/w2ydbw5rm9oduquvLmNcaamNx2MRs5zP+V+p8BYdCsGKIeP3BTnLU1YsDbtgCO+uQ4f2RBnAZK4ynJ1V2iwt8r2xxML5HmzWDUn8B14LLLP6G+OCu2ZDobix8iNQuw2C2qfQvbBO4vonm3E/o7j9tvJvNvmM9QxzZWSjfuP77CT2UzQd17fwdzH4ZqjFQf/EkuS4OmN8vDLG12mewbR47HRUxqDaQuAEEbXD38hF2gH5bZk8AvB8bxGWpmdUTv35XZXGTWMF7MYODRc+vMkrdqopXsiY9znMhjdHECb7rC9zjbzNvBoGgCyamiT/NqT6J4+AoLvtnOvYgcOYWlNS2ubZAZngM7Z+oUNXRSR7pkjfGJG70ZkY5ge3m24zHgtUMpPLxqMx7PPot/Bdua+iaI4p9+JuTYaholY0cgT3gOgNljPYoHevitMZKS7POyY3E9Nwz2xuBaKukaW/alpZCHAcxG+9/DfC9Qw6viqYo54HiSKVu8x7dCPA5gg5EHMEL5dcAdMiuu9m21hw6o7KZxFHUECQH4YZdBMOQ4O6Z8AhPEquJNTafZ72QgIS37/eCM8kJcsqmW1EQhITFyAuTqYNRyEJQlyEvTbiuA5QoS9CXplMDgSJlFvpk2wuhJ2icPVLtk4lXOQyxl4PRCRURKiEqVzGWIu76IPVISohKkcx1iLoeiD1SEqLtFN5B1iLoeiD1SEiMSKLyjrEXN9eVe1baPtpBQRO91A4PqnA5Ont3Yuu7e5/aI4tXX7X7RCgpnSixmf7uBp4ykfER8rR3j4AcQvCZpi45kuJJc5xzLnHMuJ5k5rRxk5Ld/gjk6dItRTacBwHRaVHmsNjlo0UpFkmeNm7iv3OswmjMr2RtBJe5rQPE/lmvYMGweGkaWwtzPxSOzkf4nl0GS5b2d4WWRCqlA35R7kcWw/N4u+7xXcRlYsFKVvyS5+fZ6R8L/b/4KemZK3ckY17Da7Xi4vz8eq8/q8I7KV8ZB7rju34sv3T6L0qMJVGHxy27RocRodCPMLTyuDLk4/odNGTjc34EnfaZ5fLQi2n98ysupw25sASTo0C5J5ADVetz4DA63dItwa4gHxUraRkYAYxrbCw3QAbeOqwY/wBJ5EG3OSS+3f8ABv8A6vCuots5rZPZ5tFESR7+YNMpsO6BpGOgub8z4BX8WoIqqN0M7GSMcDk9oduutYPbfRw5rRkVSRy0zyaKl6GBzlkk5vyz522iwCahlMMwzzLJG5slZ8zT941CwpAvdvaXSRy0Ej3gb8Do3xP4tc6RrHDwIcRbnY8F4hUMWnjZ91Zscd4bFAhCXcHZjnyUjlG5ehBnn5I0eteyza/fY3D6h3vGC1LI4/rIhpFfmOHTLhn6KZF8vwyljgQS0tIc1zTYtcNCF7PsNtkK1ghmIbVxt72gE7R/7G9eY89NMnKxNf3I/n+SnHyKX0S/B25kQGRVTKozKskchteItOkQOkVUyoHTKqkI8RaMiAyKm+pHNRGqHNOmK8Ze7RJZ/wCkjmkm7BoOJ0XbLJFSiFStLxsCaNYTIxMskVCMTpHjZRUaonRCZZYnRidTeNlFRqCZEJVliZGJ1GWNlEkaglUdXXMhY6WR26xgu5x5fieCpiZee+0nHd97aRju7H35bHWU6DyH1d0U8fGeSdPx6i58ixQ2/Yw9rMffXVBldlG3uQR/IzifEnM+XJYe+oXPukCvU1SVLwjyFJt2y3GVfpXLLjKvU7lmyo9Hjzpnsfs2x3fi/RXnvxDeiufihvm3+Un0I5LvIpV8/wCDVzoZGSsNnscHDl4HoRcea9jwrF2TxtkjOR1B1Y7i09V89y5vBPb0ZbkYL+pep1tPIrwXNw1a0IcQtrmvT4X6ri1qbPIy8eV9Goq87rKs/EeWSpy1fVaOT+p4lGouxMeCV9ks0iozSgKOeqWVV1lrkmwGd+i+Y5PNcnUe2elh47ZzvtIxEdiynBzkd2jv3Gaerrf9V5TVtXW7S1vbyufwFms/dH+E+a5SsXtcCLjBJ+fU9KUFDHRlyqs5WZVWcvZgeLmXYBKlpal0b2vY4sfG4OY9ps5rhxCgKa6ujEz2nZHaxtdFZ5a2pjHvIxkHD/cYOXMcD5X23VI5rwCmqXxPbJG4se03a5psQV01HtrMABKA/m74XeOWX081klwk5XH9j0cXPWtZPPuepPrQOKp1OJgcVw/+pQ/Q2J+y7I36c/JVajE3O4q2Pgv1GnzIV0dPWY8BoVTO0HVcu+a6idItseLFGOXKZ1f+oOv1SXI76Sb5aBP5qR6D2qkEixm1aMVat8sSXOibIkKNsix21ikbWJXxh1zomuJEYlWQK1SMrUj4o650TXEykEqyG1akFXxOQ4k8ApviFVz0FtDjYpYiQfevBEY5ZZvPQX8zZeTVExe5ziSS4kkk3JJK0do8UNRK59+7owcox8I/HxcVjlS0UOkSy5pZXb9AromoAnBU2CLJ2qzC5U2uU7HKM0bMMjWppl1Oz2MPp3bze811g9hNg4cPA9VxMMoGpstmgnDiACM+q83k4VKLTXR7GCWypnrOH7QQy2Af2bvlls3PodFtRyFeROfuWzWthG0UkFg128zjE+5bbp8vkvGlwYeYjZON/iekukIVd8x5qLDcRjqou0jOhs9h+JjuR/NYWP7QtgcYo7OlHxOObYzytxP3Lo8GMl9TMsINuq7NWsq2xjee4NHC+p8BxXJ4zjXaAsZdrTqT8TvyHRYlXiTnkuc4ucdXONysyorOqth4ME7SN0YqAq2XXNYtRIr3Zyyi8cUsg+aON7x6gLLrY3xu3ZGPjda+5I1zHW52K9rDiaRmz5V4K8hUL07yonFbYo8jLIByAokJVUY5DXTgoUydMm0Sh5GisQ1rm8chwOY9Dp5KldK6pGbQrRtQ4oz7bfNn5H81ehlhf8MjQeT+4fquXukrLOybidoMMJzAuOYzCS4wOPM+RST/ADC9hPhv3O9aEYKVk7Wnkt1nnokY1ShqFlwnDjdKyiDDVLGE0dypRGUjZRIJqyNq63s4QwZOlJB/hjUedwPC61uzK4bams7SdzQbtj92OVx8X9RPoFHLKol8atmQ91zdBdMSmXns1IIFWKWkll/VRSS217ONz7eNhkoYY3Pc1jBvPe5rGNH2nuNgPUhe34NhzaaGOBmkbQCfnf8Aaf5m5XRhsOmeUU+zVY/SlmHV7RGPV1l0mFez+ZxBqJGRNyJZH7yTqL/CPHvL0NrFZjCEoJFoTZn4RgsNI3dgYG3tvPN3Pfb5nHPy06K9Nh8cv62KOT+Ixrj5Ei4VlgClBUZexeMndnJ4tsa14LqVxjf/ALUjnOid0BN3NPqOi5PEqGopHBtRE6O5IY/WOS3yuGR8Nei9cgIur9ThsVXC+nnaHRyNIzGbXcHtPBw1BXm8ioySo3Q5U4xt9ni2GbQS0jnuiIvJG6Mg6Akd1/i05j+6zn1hPEm/Em5JUeOYfLR1ElNMPeRE5gGz47XEjf2S3PpnyWtsHgP6bMZZW71LCe9yll4R34jifIcU0cMfJolyEvqRHhGEVFYR2TCI/tVEgLY2joftHoF3GGbH08Fi5vbyD7c/ebfpH8I87nquoAFgBYACwAyAHIDgEJWqGOMTDl5M5/ZFUxZW5aDkqlZhzJm7ksbJWfLI1rxfnY8VoOconTBaomKTOYn2HoXZ/o+6f2JZmjyG9YKk7YCi+STx7Z911z6kKrLUjorRj9iMmcq/2e0Z07dvhN+YWdVezSMj3VRIw/8AK1kg/p3V2L64KP8A8iLahU+GvYm2eZ1+wFZHcsEU4F/1Um6637r7egJXMVNO+JxZIx0bxqyRpa4eRXtcuKDmsvFJ4ahm5NG2VvAOGbTzadWnwIXfAvwI50eRpLo8W2daCXU78teykIv4Nd+fqudkjc0lrgWkagixUpQlHycpJg3TXSSSnD3SQ2To2ceoCEqdlOeSvdlZSxsXpuZ56gZUsBUAp3ErdlhyUUUSG42hSipyFaiYVoMgFk5pkm5VQMzFakU9PLMbXY3uDnITZg9SF5NK++pv1Op6rtfaJXWMdKD8PvpLcyCGD0Lj5hcOSs2WVstBUhkkySgVR1/s0wztqszEdymZv3/5n3awem+f5V6uI1zHs7oBBRMccn1DjO6/yEWYP+oB/mK6tsgVF0hgmRlThigE4UzJgVOdlIBgJ0BkTdopUy2xagGYWzSu6rn4JbHNX4puAXm82Em7XoasdSjRpzhly8taXbu5vbrd4sz7t9bZnLqsaUMjbusa1jc7MY0NAJzJsFcERcM/oq1XTZXWDj95FbKRioplAVSB9V1TGFQyRhfRRUTC2x31Cz6mpUsxss2pctEEiLCdVrOq663H6qKqqLBYVbUX4KypE5I0pq/r9VQmxEjisaac8iqUryU+5FxNw19/tIH1WXxLDBKTpTZNuxNUaEtX1VKqlY8Wdny5jwKpySKBxU5ZH4OUUDPCB8JuOuoUCnKBwus7XsUTI06VkkobPYXy2UkE2aypKhRNrLL09Tzt0jopJMtVRdNYqg6tJUYmJQUBnkNyGr6p6rFWxsdI491jS51tbAfesdriuc2vrSGtgBzf33j9kHuj1z/lSTioqykJtujnsQrHTyvmee9I4uPS+gHQCw8lVJTkoCVibNSHVihpTNLHEMjI8Nv8o4u8hc+SrrrfZ1QCSokld8MMdh/EkuB/SH+qWKtjHaCqtZrBZrQGtaODQLAeisRzPVptOzorDI2jktMmvQ6KZn9s++d1cinITSho4qMSDmEjpoqkXI6oq22W6y4yL6q20hZ5loqy9E6/BalM62VllUpWjGV4nPzNKkenhxJRs1I5LBUcTrA0FOw5arLxqRrYnlxtYfVeXxsjllin7jLGlbKEuKNBIuqc+LBcjV1uepVN9WTxK+1hx6XZ5U8ibOrlxQKEV7TqVyj5OqhNXYouNeBLOqqJGlZU7Gnh9yyn4rwVKXFjzQtiuSL9TG1UXtaqMteTxVZ9UUylRKTs0Huaqk0oVN8xURcVzyMnRO6RAXqEuTXSObOpEhchLkF0robBoLeSQJIWcelGnNv7JmUx4q3FO08QifK0cV6bkzzVBEIp1I2GyE1jeiE1jea62MkiwAGgucQA0FzieDQLkrzbE6wzyvlOW+ch8rBk0ell1G02KAQmNp70p3T+5q78B5rjCVlzy7o1YkqsRKFOUyylx12my1aKen6yPdIfD4R9BfzXGNbcgDUkAeJXRtvYNGQAAHgBZX48LbbJ5JV4OoOPE6J2Y25c9FEVOIiFocEGLZsT4wTxUUeLf5dUo4+ieRgCDiiqb8mrHi9loQYvvaLkHSAFX6KccFnyKJoxtnWxYgRzHmrUeKv/AMK5h1aBqVAMTDTcZrz8mOEvKPRxzcfU7I4pJrvAeV1mYrWmQWe+4HDQXWC7Fy4ZKtNVF3NShjUXaikx55ItduytiLhvZfeqzZEM1ydD6J4mG9lvWSbXZ5s0r6I5d7gFTlLuS6OCjy/NV6qmb5opk5I5yR5VR61ayEBZz2pyEiuU1kb1GChQtiLUFlI4oFxwNkiE6ElKzhkk6ZccMknSQON+HESOJUsmKOKSS9SzDokVnYi7mmFa48SnSSp9jOCKNfOXOz4CwVQlJJYsjuTNMFSoZJJJSKF3Cod+QD5QXelh+K6KGlPNOktmHqBKSuRejgISe0/4UkkXJllFURHeCcwki5+iSSjObKRRRnp81aoqbLWySSy5JOjRhSslqKewzN/FUzB18kkkqHkuyxEd3XRW2VTDbL6JJJZLoaD7I6l7SNFmvqw06JJJ8fglnfY7sWsMifqs+bFCTqkkrIyykypNV72qrukSSRsQic66FMkgASSSSBwJTJJIHCSSSROEkkkuOP/Z";-45.82423; -67.46366;Micaela Rodrigues;10/05/25 12:06 PM;25 de mayo;
2;Parque KM 8;Audio tomado en el contexto de una plaza con infancias jugando en los juegos;;;-45.79507;-67.42089;Micaela Rodrigues;10/05/25 16:44 PM;Don Bosco;
3;Mi casa;Audio tomado en la vereda de mi casa donde se puede oir el despegue del avion ya que se encuentra cerca el aeropuerto;;; -45.78764;-67.4409;Micaela Rodrigues;12/05/25 10:55 AM;Standard Norte;
4;Muelle Caleta Cordova;Audio tomado en el muelle donde se perciben las olas del mar y el viento;;;-45.7531;-67.37125;Micaela Rodrigues;10/05/25 15:34 PM;Caleta Cordova;
5;Parada de colectivo Av. HH;Audio tomado en zona centrica donde transitan muchos vehiculos;;;-45.86383;-67.47806;Micaela Rodrigues;10/05/25 14:56 pm;Centro;
6;Autodromo;Audio tomado dentro del autodromo en zona de boxes donde se escucha el ruido de las personas transcurriendo y los autos girando en la pista;;;-45.90274;-67.54595;Micaela Rodrigues;11/05/25 12:07 PM;;
7;Kiosco Marylin;Audio tomado desde la vereda de una calle bastante transitada en standard sur ;;;-45.79483;-67.43287;Micaela Rodrigues;10/05/2025 18:37 PM;Standard Sur;
8;Avenida de mi barrio;Audio tomado en la avenida donde pasa el colectivo en standart norte que a su vez es bastante transitada;;;-45.78713;-67.44133;Micaela Rodrigues;10/05/25 17:26 PM;Standard Norte;
9;Chacra KM 17;Audio tomado en una casa de km 17 donde tienen gallinas, caballos, perros y se escucha el sonido que emite alguno de ellos;;;-45.76274;-67.48322;Micaela Rodrigues;11/05/25 09:02 AM;Km 17;
10;Centro;Audio tomado desde un edificio en el 4to piso en zona centrica;;; -45.8638;-67.48123;Micaela Rodrigues;11/05/25 18:26 PM;Centro;
